Year,chla,chla_lag1,chla_prevSummer,colour,colour_lag1,colour_prevSummer,Cyano,Cyano_lag1,Rain_lag1,Rainy_days_winter,TP,TP_lag1,TP_prevSummer,WindDays_under_Q0.4,WindDays_over_Q0.6
1980,20.773333333333333,12.169126984126985,,,,,,,242.199218085,,51.06190476190477,36.084126984126975,,38.0,33.0
1981,9.5875,7.075,16.471230158730158,,,,,,282.257779432,102.0,34.08333333333333,23.583333333333336,43.57301587301588,41.0,29.0
1982,6.229166666666665,5.466666666666666,8.33125,26.66666666666667,,,,,151.00623331399999,105.0,18.89583333333333,37.77777777777778,28.83333333333333,28.0,47.0
1983,6.166666666666668,5.98,5.8479166666666655,14.666666666666664,19.4,26.66666666666667,,,182.72881749700005,121.0,26.149999999999995,31.96,28.336805555555557,25.0,51.0
1984,11.95,10.23,6.073333333333334,,,17.03333333333333,,,255.82062942299987,121.0,25.695,27.360000000000007,29.055,35.0,31.0
1985,13.333333333333332,9.97777777777778,11.09,34.625,34.111111111111114,,,,236.49391209300012,138.0,26.725,36.6,26.527500000000003,39.0,40.0
1986,14.444444444444445,10.911111111111113,11.655555555555555,23.5,31.44444444444445,34.36805555555556,,,163.43724397199998,123.0,34.244444444444454,33.333333333333336,31.6625,36.0,35.0
1987,10.755555555555556,6.2666666666666675,12.677777777777774,30.16666666666667,27.88888888888889,27.472222222222218,,,251.69644928500009,114.0,22.399999999999995,24.46666666666667,33.78888888888889,35.0,38.0
1988,15.255555555555556,12.855555555555556,8.511111111111111,36.77777777777778,27.777777777777768,29.027777777777782,,,300.12176570600013,150.0,27.866666666666664,31.2,23.43333333333333,38.0,34.0
1989,21.233333333333334,9.05,14.055555555555555,22.66666666666667,24.75,32.27777777777778,,,184.13527493900003,134.0,26.33333333333333,27.6,29.53333333333333,43.0,36.0
1990,15.7,9.65,15.141666666666667,17.333333333333332,21.75,23.708333333333336,,,170.0517146360001,129.0,28.899999999999995,28.9,26.966666666666665,33.0,39.0
1991,10.275,8.575,12.675,19.5,21.75,19.541666666666664,,,182.15018411200003,137.0,28.475,25.975,28.9,41.0,34.0
1992,20.83333333333333,13.7,9.425,16.0,25.25,20.625,,,132.57916957199998,141.0,29.86666666666667,32.45,27.225,37.0,35.0
1993,16.966666666666665,9.35,17.266666666666666,26.33333333333333,23.0,20.625,,,217.24269529100002,119.0,30.266666666666666,25.075,31.15833333333334,44.0,33.0
1994,27.066666666666666,11.65,13.158333333333333,23.0,31.25,24.666666666666664,,,61.717935272000005,143.0,32.800000000000004,28.675,27.67083333333333,39.0,31.0
1995,23.200000000000006,20.566666666666666,19.358333333333334,23.33333333333333,28.33333333333333,27.125,,,210.534631109,165.0,32.800000000000004,26.1,30.737500000000004,34.0,40.0
1996,18.666666666666668,23.93333333333333,21.88333333333333,15.0,20.33333333333333,25.83333333333333,4.233333333333333,2.123333333333333,172.1298755860001,148.0,31.76666666666667,30.8,29.450000000000006,45.0,33.0
1997,25.1,21.033333333333328,21.3,17.333333333333332,20.666666666666668,17.666666666666664,2.0866666666666664,1.3166666666666669,180.95761478200004,159.0,29.23333333333333,29.6,31.28333333333333,43.0,28.0
1998,23.433333333333334,18.766666666666666,23.066666666666666,,,19.0,1.68,0.8933333333333332,210.34744419000003,147.0,38.033333333333346,26.7,29.416666666666664,37.0,32.0
1999,,,21.1,49.153846153846146,51.69230769230769,,3.3833333333333333,0.77,291.151700398,158.0,,,32.36666666666667,44.0,26.0
2000,27.23333333333333,17.099999999999998,,35.416666666666664,49.153846153846146,50.42307692307693,1.7787499999999998,0.19666666666666666,248.36199442299994,144.0,30.66666666666667,34.666666666666664,,37.0,33.0
